iteration,country_name,currency,is_circulation,person,years_of_birth_death,in_circulation_since,years_of_circulation,reason_for_honor,denomination,obverse_or_reverse
1,Albania,NA,1,Naim Frashëri,1846-1900,1996,NA,Poet and writer,200 Lekë,Obverse
1,Albania,NA,1,Ismail Qemali,1844-1919,1996,NA,1st Head of State of Albania (1912); 1st Prime Minister of Albania (1912-1914); 1st Minister of Foreign Affairs (1912-1913),500 Lekë,Obverse
1,Albania,NA,1,Pjetër Bogdani,1630-1689,1996,NA,Writer and poet,"1,000 Lekë",Obverse
1,Albania,NA,1,King Gent (Gentius),?-167 BC,2007,NA,Last Illyrian king of the Ardiaean State,"2,000 Lekë",Obverse
1,Albania,NA,1,George Kastrioti (Skanderbeg),1405-1468,1996,NA,Prince of Kastrioti (1443-1468),"5,000 Lekë",Obverse
1,Albania,NA,1,Aleksandër Stavre Drenova (Asdreni),1872-1947,2018,NA,Poet; known for writing the National Anthem of Albania Himni i Flamurit,"10,000 Lekë",Obverse
2,Angola,NA,1,Agostinho Neto and José Eduardo dos Santos,1922–1979 (Agostinho Neto); 1942- (José Eduardo dos Santos),1999,NA,President of Angola (1975-1979) (Agostinho Neto); President of Angola (1979-2017) (José Eduardo dos Santos),"All (1-2,000 kwanzas)",Obverse
2,Angola,NA,1,Agostinho Neto and José Eduardo dos Santos,1922–1979 (Agostinho Neto); 1942- (José Eduardo dos Santos),2012 and 2017,NA,President of Angola (1975-1979) (Agostinho Neto); President of Angola (1979-2017) (José Eduardo dos Santos),"All (5-5,000 kwanzas)",Obverse
3,Argentina,NA,1,Bartolomé Mitre,1821-1906,1997,NA,"6th President of Argentina (April 12-October 11, 1862; October 12, 1862-October 11, 1868)",$2,Obverse
3,Argentina,NA,1,José de San Martín,1778-1850,1998 and 2015,NA,General and prime leader of South America's struggle for independence from the Spanish Empire,$5,Obverse (1998 and 2015 issue); Reverse (2015 issue)
3,Argentina,NA,1,José Artigas,1764-1850,2015,NA,National hero of Uruguay,$5,Reverse
3,Argentina,NA,1,Simón Bolívar,1783-1830,2015,NA,"Venezuelan military and political leader who played an instrumental role in the establishment of Venezuela, Ecuador, Bolivia, Peru and Colombia as sovereign states, independent of Spanish rule",$5,Reverse
3,Argentina,NA,1,Bernardo O'Higgins,1778-1842,2015,NA,Chilean independence leader; responsible for freeing Chile from Spanish rule in the Chilean War of Independence,$5,Reverse
3,Argentina,NA,1,Manuel Belgrano,1770-1820,1999 and 2016,NA,"Economist, lawyer, politician, and military leader; took part in the Argentine Wars of Independence and created the Flag of Argentina",$10,Obverse (1999 and 2016); Reverse (2016)
3,Argentina,NA,1,Juana Azurduy de Padilla,1780 or 1781-1862,2016,NA,Guerrilla military leader,$10,Reverse
3,Argentina,NA,1,Juan Manuel de Rosas,1793-1877,2000,NA,Politician and army officer who ruled Buenos Aires Province and briefly the Argentine Confederation,$20,Obverse
3,Argentina,NA,1,Domingo Sarmiento,1811-1888,1999,NA,7th President of Argentina (1868-1874),$50,Obverse
3,Argentina,NA,1,Antonio Rivero,1808-?,2015,NA,Leading an unsuccessful resistance against the British in 1833,$50,Reverse
3,Argentina,NA,1,Julio Argentino Roca,1843-1914,1999,NA,"14th President of Argentina (2 Terms: October 12, 1880 – October 12, 1886; October 12, 1898 – October 12, 1904)",$100,Obverse
3,Argentina,NA,1,María Eva Duarte de Perón,1919-1952,2012,NA,First Lady of Argentina (1946-1952),$100,Obverse
4,Armenia,NA,1,Aram Khachaturian,1903-1978,1998,NA,Composer,50,Obverse
4,Armenia,NA,1,Victor Ambartsumian,1908-1996,1998,NA,Scientist and one of the founders of theoretical astrophysics,100,Obverse
